agent,opponent,K,agent_role,who_starts,seed,W,D,L,n_games
Base,Random,0,1,agent,0,176,3,21,200
Base,Random,0,1,agent,1,165,11,24,200
Base,Random,0,1,agent,2,160,4,36,200
Base,Random,0,1,agent,3,169,3,28,200
Base,Random,0,1,agent,4,155,9,36,200
Base,Random,0,2,opponent,0,28,13,159,200
Base,Random,0,2,opponent,1,27,14,159,200
Base,Random,0,2,opponent,2,27,14,159,200
Base,Random,0,2,opponent,3,34,11,155,200
Base,Random,0,2,opponent,4,31,21,148,200
Base,Random,2,1,agent,0,135,18,47,200
Base,Random,2,1,agent,1,147,16,37,200
Base,Random,2,1,agent,2,137,18,45,200
Base,Random,2,1,agent,3,146,18,36,200
Base,Random,2,1,agent,4,138,21,41,200
Base,Random,2,2,opponent,0,50,25,125,200
Base,Random,2,2,opponent,1,33,22,145,200
Base,Random,2,2,opponent,2,34,16,150,200
Base,Random,2,2,opponent,3,42,19,139,200
Base,Random,2,2,opponent,4,43,27,130,200
Base,Random,4,1,agent,0,121,23,56,200
Base,Random,4,1,agent,1,118,28,54,200
Base,Random,4,1,agent,2,130,19,51,200
Base,Random,4,1,agent,3,125,27,48,200
Base,Random,4,1,agent,4,123,26,51,200
Base,Random,4,2,opponent,0,50,26,124,200
Base,Random,4,2,opponent,1,56,20,124,200
Base,Random,4,2,opponent,2,49,28,123,200
Base,Random,4,2,opponent,3,40,33,127,200
Base,Random,4,2,opponent,4,52,22,126,200
Base,Algorithm,0,1,agent,0,0,0,200,200
Base,Algorithm,0,1,agent,1,0,0,200,200
Base,Algorithm,0,1,agent,2,0,0,200,200
Base,Algorithm,0,1,agent,3,0,0,200,200
Base,Algorithm,0,1,agent,4,0,0,200,200
Base,Algorithm,0,2,opponent,0,0,0,200,200
Base,Algorithm,0,2,opponent,1,0,0,200,200
Base,Algorithm,0,2,opponent,2,0,0,200,200
Base,Algorithm,0,2,opponent,3,0,0,200,200
Base,Algorithm,0,2,opponent,4,0,0,200,200
Base,Algorithm,2,1,agent,0,14,34,152,200
